configuration,key_exchange,tls_version,certificate,cipher,openssl_version,iterations,successful,average_handshake_us,minimum_handshake_us,maximum_handshake_us,tcp_payload_bytes,ip_packets,resource_elapsed_s,resource_user_cpu_s,resource_system_cpu_s,max_rss_kb
Classical TLS,X25519,TLSv1.3,RSA-2048,TLS_AES_256_GCM_SHA384,System OpenSSL 3.0.13,100,100,26211,21956,32626,2386,16,3.17,2.27,0.42,8704
Hybrid TLS,X25519MLKEM768,TLSv1.3,RSA-2048,TLS_AES_256_GCM_SHA384,OpenSSL 3.5.4,100,100,8170,6832,10829,4642,16,1.01,0.43,0.28,9600
